5,16,31,58,1960,-5784,10576,516,1285,4224
5,16,31,58,1824,-5728,10560,514,1301,4224
5,16,31,58,1856,-5720,10564,518,1297,4224
5,16,31,58,1888,-5816,10500,516,1296,4224
5,16,31,58,1832,-5784,10756,518,1300,4224
5,16,31,58,1896,-5816,10756,518,1296,4224
5,16,31,58,1920,-5816,10512,512,1285,4224
5,16,31,58,1960,-6112,10564,518,1285,4224
5,16,31,58,1888,-5888,10768,512,1296,4224
5,16,31,58,1984,-5664,10512,514,1280,4224
5,16,31,58,1896,-5728,10512,512,1296,4224
5,16,31,58,1896,-5760,10564,518,1280,4224
5,16,31,58,1832,-5760,10576,514,1284,4224
5,16,31,58,1864,-5784,10576,514,1284,4224
5,16,31,58,1864,-5752,10756,512,1280,4224
5,16,31,58,1920,-5784,10496,516,1284,4224
5,16,31,59,2024,-5720,10496,514,1297,4224
5,16,31,59,1768,-5816,10564,518,1296,4224
5,16,31,59,1824,-5752,10836,512,1297,4224
5,16,31,59,2024,-5816,10512,516,1301,4224
5,16,31,59,1896,-5784,10564,512,1285,4224
5,16,31,59,1800,-5760,10772,514,1296,4224
5,16,31,59,1864,-5816,10772,514,1280,4224
5,16,31,59,1920,-5720,10836,512,1281,4224
5,16,31,59,1920,-5848,10820,514,1301,4224
5,16,31,59,1856,-5728,10516,514,1301,4224
5,16,31,59,1928,-5720,10752,514,1297,4224
5,16,31,59,1824,-5688,10496,518,1296,4224
5,16,31,59,1896,-5752,10512,514,1300,4224
5,16,31,59,1984,-5784,10772,512,1285,4224
5,16,31,59,1888,-5760,10516,518,1285,4224
5,16,31,59,1856,-5792,10512,512,1296,4224
5,16,31,59,1992,-5760,10772,518,1280,4224
5,16,31,59,1928,-5760,10576,514,1284,4224
5,16,31,59,1832,-5784,10580,516,1285,4224
5,16,31,59,1864,-5728,10516,514,1284,4224
5,16,31,59,1960,-5784,10576,518,1285,4224
5,16,31,59,1896,-5752,10560,516,1284,4224
5,16,31,56,1920,-5720,10776,514,1300,4224
5,16,31,56,1888,-5824,10568,516,1280,4224
5,16,31,56,1928,-5792,10776,516,1296,4224
