interval,hour,minute,second,acX,acY,acX,gyX,gyY,gyZ,denoisedAcX,denoisedAcY,denoisedAcZ
5,16,30,6,1864,-5816,10752,514,1300,4224,-20,-56,132
5,16,30,6,1960,-5784,10752,512,1284,4224,76,-24,132
5,16,30,6,1832,-5792,10496,514,1301,4224,-52,-32,-124
5,16,30,6,1888,-5728,10752,518,1280,4224,4,32,132
5,16,30,6,1864,-5664,10752,518,1300,4224,-20,96,132
5,16,30,6,1920,-5688,10496,514,1285,4224,36,72,-124
5,16,30,6,1896,-5696,10496,512,1281,4224,12,64,-124
5,16,30,6,1952,-5688,10496,516,1281,4224,68,72,-124
5,16,30,6,1832,-5728,10496,514,1296,4224,-52,32,-124
5,16,30,6,1960,-5720,10752,518,1296,4224,76,40,132
5,16,30,6,1856,-5760,10752,516,1300,4224,-28,0,132
5,16,30,7,1896,-5752,10752,514,1280,4224,12,8,132
5,16,30,7,1896,-5656,10752,514,1296,4224,12,104,132
5,16,30,7,1800,-5760,10752,512,1280,4224,-84,0,132
5,16,30,7,1856,-5784,10752,516,1280,4224,-28,-24,132
5,16,30,7,1888,-5760,10496,514,1296,4224,4,0,-124
5,16,30,7,1896,-5728,10496,514,1285,4224,12,32,-124
5,16,30,7,1832,-5720,10752,514,1297,4224,-52,40,132
5,16,30,7,1960,-5824,10496,516,1297,4224,76,-64,-124
5,16,30,7,1832,-5720,10496,518,1301,4224,-52,40,-124
5,16,30,7,1928,-5688,10752,518,1301,4224,44,72,132
5,16,30,7,1928,-5760,10496,512,1281,4224,44,0,-124
5,16,30,7,1920,-5688,10496,512,1285,4224,36,72,-124
5,16,30,7,1792,-5664,10496,518,1297,4224,-92,96,-124
5,16,30,7,1864,-6144,10752,512,1297,4224,-20,-384,132
5,16,30,7,1856,-5720,10496,512,1297,4224,-28,40,-124
5,16,30,7,1960,-5728,10752,516,1297,4224,76,32,132
5,16,30,7,1736,-5792,10496,512,1296,4224,-148,-32,-124
5,16,30,7,1864,-5816,10752,512,1297,4224,-20,-56,132
5,16,30,7,1896,-5728,10752,514,1296,4224,12,32,132
5,16,30,7,1952,-5696,10496,516,1297,4224,68,64,-124
5,16,30,7,1960,-5728,10496,518,1300,4224,76,32,-124
5,16,30,7,1928,-5728,10496,518,1296,4224,44,32,-124
5,16,30,7,1992,-5760,10496,512,1285,4224,108,0,-124
5,16,30,8,1824,-5696,10752,512,1301,4224,-60,64,132
5,16,30,8,1928,-5752,10496,512,1300,4224,44,8,-124
5,16,30,8,1832,-5816,10752,518,1280,4224,-52,-56,132
5,16,30,8,1920,-5848,10752,514,1300,4224,36,-88,132
5,16,30,8,1928,-5720,10496,512,1285,4224,44,40,-124
5,16,30,8,1928,-5728,10752,514,1300,4224,44,32,132
5,16,30,8,1920,-5720,10496,512,1300,4224,36,40,-124
5,16,30,8,1928,-5888,10496,518,1297,4224,44,-128,-124
5,16,30,8,1856,-5816,10496,518,1285,4224,-28,-56,-124
5,16,30,8,1920,-5784,10496,516,1285,4224,36,-24,-124
5,16,30,8,1920,-5792,10496,516,1301,4224,36,-32,-124
5,16,30,8,1864,-5760,10752,514,1297,4224,-20,0,132
5,16,30,8,1928,-5760,10752,512,1285,4224,44,0,132
5,16,30,8,1888,-5824,10496,514,1297,4224,4,-64,-124
5,16,30,8,1888,-5784,10752,518,1284,4224,4,-24,132
5,16,30,8,1864,-5664,10496,516,1281,4224,-20,96,-124
5,16,30,8,1928,-5784,10752,518,1301,4224,44,-24,132
5,16,30,8,1896,-5720,10496,518,1301,4224,12,40,-124
5,16,30,8,1856,-5752,10752,516,1296,4224,-28,8,132
5,16,30,8,1832,-5728,10496,514,1300,4224,-52,32,-124
5,16,30,8,2016,-5816,10496,514,1285,4224,132,-56,-124
5,16,30,8,1856,-5720,10496,518,1301,4224,-28,40,-124
5,16,30,9,1768,-5688,10752,514,1281,4224,-116,72,132
5,16,30,9,1920,-5752,10752,516,1296,4224,36,8,132
5,16,30,9,1856,-5856,10496,514,1281,4224,-28,-96,-124
5,16,30,9,1888,-5688,10496,512,1285,4224,4,72,-124
5,16,30,9,1768,-5720,10752,512,1296,4224,-116,40,132
5,16,30,9,1920,-5760,10496,514,1280,4224,36,0,-124
5,16,30,9,1832,-5760,10496,518,1297,4224,-52,0,-124
5,16,30,9,1896,-5792,10752,518,1300,4224,12,-32,132
5,16,30,9,1984,-5752,10752,512,1301,4224,100,8,132
5,16,30,9,1856,-5688,10752,512,1296,4224,-28,72,132
5,16,30,9,1952,-5728,10496,514,1284,4224,68,32,-124
5,16,30,9,1960,-5656,10496,518,1301,4224,76,104,-124
5,16,30,9,1920,-5824,10752,514,1280,4224,36,-64,132
5,16,30,9,1824,-5728,10496,518,1301,4224,-60,32,-124
5,16,30,9,1856,-5848,10496,516,1285,4224,-28,-88,-124
5,16,30,9,1888,-5656,10752,516,1285,4224,4,104,132
5,16,30,9,1920,-5720,10752,516,1281,4224,36,40,132
5,16,30,9,1856,-5752,10752,518,1280,4224,-28,8,132
5,16,30,9,1824,-5760,10752,512,1296,4224,-60,0,132
5,16,30,9,1896,-5752,10752,512,1280,4224,12,8,132
5,16,30,9,1856,-5720,10496,512,1280,4224,-28,40,-124
5,16,30,9,1888,-5720,10496,516,1284,4224,4,40,-124
5,16,30,9,1928,-5728,10496,518,1284,4224,44,32,-124
5,16,30,6,2016,-5760,10756,514,1300,4224,132,0,136
5,16,30,6,1832,-5816,10500,514,1301,4224,-52,-56,-120
5,16,30,6,1992,-5696,10496,516,1281,4224,108,64,-124
5,16,30,6,8,-5760,10500,516,1281,4224,-1876,0,-120
5,16,30,6,1896,-5792,10752,516,1301,4224,12,-32,132
5,16,30,6,1864,-5720,10500,516,1284,4224,-20,40,-120
5,16,30,6,1928,-5656,10752,514,1284,4224,44,104,132
5,16,30,6,1856,-5760,10500,514,1281,4224,-28,0,-120
5,16,30,6,1928,-5720,10500,516,1281,4224,44,40,-120
5,16,30,6,1896,-5760,10752,512,1284,4224,12,0,132
5,16,30,6,8,-5696,10752,518,1280,4224,-1876,64,132
5,16,30,6,1888,-5752,10496,518,1297,4224,4,8,-124
5,16,30,6,1896,-5784,10500,516,1285,4224,12,-24,-120
5,16,30,6,1920,-5816,10496,514,1284,4224,36,-56,-124
5,16,30,6,1984,-5760,10500,512,1301,4224,100,0,-120
5,16,30,6,1888,-5784,10496,518,1296,4224,4,-24,-124
5,16,30,6,1896,-5752,10752,518,1296,4224,12,8,132
5,16,30,6,1896,-5696,10752,512,1285,4224,12,64,132
5,16,30,6,1832,-5720,10500,514,1285,4224,-52,40,-120
5,16,30,6,1888,-5720,10496,514,1300,4224,4,40,-124
5,16,30,6,1824,-5760,10496,512,1284,4224,-60,0,-124
5,16,30,6,1896,-5816,10756,512,1285,4224,12,-56,136
5,16,30,6,1888,-5760,10496,518,1297,4224,4,0,-124
5,16,30,7,1832,-5728,10752,516,1296,4224,-52,32,132
5,16,30,7,1888,-5728,10496,516,1301,4224,4,32,-124
5,16,30,7,1888,-5696,10500,518,1281,4224,4,64,-120
5,16,30,7,1928,-5760,10752,518,1301,4224,44,0,132
5,16,30,7,1864,-5688,10500,518,1300,4224,-20,72,-120
5,16,30,7,1888,-5792,10752,516,1281,4224,4,-32,132
5,16,30,7,1896,-5848,10500,518,1280,4224,12,-88,-120
5,16,30,7,1888,-5728,10496,514,1297,4224,4,32,-124
5,16,30,7,1888,-5752,10756,516,1285,4224,4,8,136
5,16,30,7,1864,-5688,10496,516,1300,4224,-20,72,-124
5,16,30,7,1984,-5792,10496,514,1280,4224,100,-32,-124
5,16,30,7,1960,-5720,10756,518,1285,4224,76,40,136
5,16,30,7,1928,-5728,10756,516,1281,4224,44,32,136
5,16,30,7,1928,-5696,10752,518,1301,4224,44,64,132
5,16,30,7,1824,-5728,10756,518,1281,4224,-60,32,136
5,16,30,7,1920,-5728,10756,514,1281,4224,36,32,136
5,16,30,7,1888,-5824,10500,512,1281,4224,4,-64,-120
5,16,30,7,1920,-5784,10500,512,1300,4224,36,-24,-120
5,16,30,7,1920,-5824,10756,512,1297,4224,36,-64,136
5,16,30,7,1856,-5824,10496,512,1280,4224,-28,-64,-124
5,16,30,7,1864,-5696,10752,516,1300,4224,-20,64,132
5,16,30,7,1920,-5696,10756,516,1297,4224,36,64,136
5,16,30,7,1856,-5728,10756,512,1280,4224,-28,32,136
5,16,30,8,1864,-5792,10500,512,1284,4224,-20,-32,-120
5,16,30,8,1960,-5888,10752,512,1297,4224,76,-128,132
5,16,30,8,1888,-5792,10496,518,1281,4224,4,-32,-124
5,16,30,8,1896,-5792,10500,514,1297,4224,12,-32,-120
5,16,30,8,1888,-5760,10500,512,1284,4224,4,0,-120
5,16,30,8,1824,-5656,10496,516,1296,4224,-60,104,-124
5,16,30,8,1984,-5752,10752,512,1284,4224,100,8,132
5,16,30,8,1960,-5792,10752,516,1281,4224,76,-32,132
5,16,30,8,1864,-5720,10756,516,1300,4224,-20,40,136
